"Tires where delivered to the garage of my choice,the garage notified me when they had been delivered. A day and time was arranged with the garage and I went and had them fitted,a Hassel free experience.",garage service positive,ease of booking positive,,,,,,,,,,,,
"Easy Tyre Selection Process, Competitive Pricing and Excellent Fitting Service",garage service positive,value for money positive,,,,,,,,,,,,
Very easy to use and good value for money.,value for money positive,,,,,,,,,,,,,
Really easy and convenient to arrange,ease of booking positive,,,,,,,,,,,,,
It was so easy to select tyre sizes and arrange local fitting. The prices were competitive,location positive,value for money positive,ease of booking positive,,,,,,,,,,,
service was excellent. Only slight downside was not knowing exact time at garage although the garage were so quick so I wasn't delayed,length of fitting positive,ease of booking positive,ease of booking negative,,,,,,,,,,,
User friendly Website. Competitive Prices. Good communications. Efficient service by ATS Euromaster.,garage service positive,value for money positive,,,,,,,,,,,,
Excellent prices and service,value for money positive,,,,,,,,,,,,,
It was very straightforward and the garage was great. Hadn't even known about them before,garage service positive,,,,,,,,,,,,,
Use of local garage.,location positive,,,,,,,,,,,,,
"Easy to use, also good price.",value for money positive,,,,,,,,,,,,,
Outstanding values for money and a friendly professional service,value for money positive,,,,,,,,,,,,,
Great price and easy to use,value for money positive,,,,,,,,,,,,,
Good price and easy to use a garage I was familiar with.,value for money positive,location positive,,,,,,,,,,,,
Booked slot then you couldn't provide it and had to re-arrange. Makes a bit of a mockery of an online booking system...,ease of booking negative,change of date negative,,,,,,,,,,,,
Good price and some good fitting centres,garage service positive,value for money positive,,,,,,,,,,,,
Competitively priced and easy to use fitting centre near me who were very professional.,location positive,value for money positive,garage service positive,,,,,,,,,,,
Very easy to use. I was kept up to date every step of the way. Good product at good price. Thank you.,value for money positive,tyre quality positive,,,,,,,,,,,,
"A really easy website to navigate, competitive prices and a great selection of garages to choose from for fitting.",value for money positive,,,,,,,,,,,,,
A very good experience and a set time booking,ease of booking positive,,,,,,,,,,,,,
"No hassle, no fuss and a good price",value for money positive,,,,,,,,,,,,,
"Good price ,good fitting service at ATS cleckheaton.",value for money positive,garage service positive,,,,,,,,,,,,
"Quick and simple website from which to choose the tyres I wanted. Good value, good quality tyres. Whole process from choice to fitting was easy.",tyre quality positive,value for money positive,,,,,,,,,,,,
"Great choice, quick service and excellent garage for fitting",garage service positive,,,,,,,,,,,,,
The staff at the garage have no manners and swear openly in front of customers.,garage service negative,,,,,,,,,,,,,
Best prices and fitted by local company.,location positive,value for money positive,,,,,,,,,,,,
Had to wait in garage for more than an hour to get fitted. Booked a time slot to avoid any wait,wait time negative,ease of booking negative,,,,,,,,,,,,
Very easy to use and good prices.,value for money positive,,,,,,,,,,,,,
"Had the tyres I wanted at the price I liked, and the fitting garage were as good as always.",garage service positive,value for money positive,,,,,,,,,,,,
"Quick ordering, great service from the garage",garage service positive,,,,,,,,,,,,,
Simple to order. Easy to book your appointment. Tyres turned up on time. Fitters did a great job.,delivery punctuality positive,ease of booking positive,,,,,,,,,,,,
Easy to use site. Good choice of tyres at a good price. Choice of tyre fitters near my home plentiful.,value for money positive,location positive,mobile fitter positive,,,,,,,,,,,
It was easy to find the tyres I needed and close to home for fitting,location positive,,,,,,,,,,,,,
Great service car ready on time and price was reasonable,garage service positive,value for money positive,,,,,,,,,,,,
Great price and service,value for money positive,,,,,,,,,,,,,
Staff with [REDACTED] went above and beyond to help me organise my booking and ordering my tires. The staff within the chosen garage were also quick and efficient. :),ease of booking positive,length of fitting positive,advisor/agent service positive,advisoragent service positive,garage service positive,,,,,,,,,
"Quick, convenient, hassle-free. No need to phone around for prices and I'm confident I save money.",value for money positive,,,,,,,,,,,,,
"PRICE WAS COMPETATIVE, FITTING WAS EASY",garage service positive,value for money positive,,,,,,,,,,,,
"[REDACTED]' website was easy to use, gave clear options for tyres suitable for my car. Tyres are good value for the good quality they are. The staff at the garage I chose were very friendly and flexible to fit my needs.",value for money positive,tyre quality positive,garage service positive,,,,,,,,,,,
"Easy to order tyres, choose fitting centre and everything went smoothly",garage service positive,ease of booking positive,,,,,,,,,,,,
My tyre was fitted as per time and seem to be efficient . OST of the staff we pleasant,wait time positive,length of fitting positive,garage service positive,,,,,,,,,,,
Excellent service very nice garage staff CFM NORTHAMPTON SUPERB,garage service positive,,,,,,,,,,,,,
"Great choice of tyres and prices, smooth ordering and fitting booking",ease of booking positive,value for money positive,,,,,,,,,,,,
Easy to order all ready when I got there fitted quickly with no issues at a good price,garage service positive,length of fitting positive,value for money positive,,,,,,,,,,,
Great service great price you just have to pick the garage carefully,value for money positive,,,,,,,,,,,,,
The prices are competitive and the local garage provides great service.,value for money positive,location positive,garage service positive,,,,,,,,,,,
"Easy to navigate website, was sent notification of the appointment, but most important the suggested tyre fitter was excellent. I will be recommending and using [REDACTED] and their suggested fitter, Merityre in Bookham in the future",garage service positive,,,,,,,,,,,,,
Easily arranged on line. Decent price for tyres and only small extra charge for fitting at home. That was done by very pleasant fitter.,ease of booking positive,mobile fitter positive,extra charges positive,value for money positive,,,,,,,,,,
"Convenient, easy way to search for tyres and pick a garage and a time that is suitable",ease of booking positive,,,,,,,,,,,,,
Good price. Quality tyres.,tyre quality positive,value for money positive,,,,,,,,,,,,
Very good service. Confidence in price.,value for money positive,,,,,,,,,,,,,
"Simple ordering, convenient fitting and sensible prices",value for money positive,,,,,,,,,,,,,
Ease of use The mechanics who fitted my tyres were very helpful.,garage service positive,,,,,,,,,,,,,
Easy to order easy to get fitted at a time and place to suit,ease of booking positive,location positive,,,,,,,,,,,,
"Happy with [REDACTED] but won’t be using the garage to fit them , the man at the garage was very rude to me , so when I need tyres again from [REDACTED] I won’t be going to just tyres in Solihull off life lane",garage service positive,garage service negative,,,,,,,,,,,,
Competitive price and convenient fitting in Northern Ireland.,garage service positive,value for money positive,,,,,,,,,,,,
Service and price were incomparable to other similar services and fitter couldn’t of been anymore friendlier,garage service positive,value for money positive,,,,,,,,,,,,
Slow fitting.,garage service negative,length of fitting negative,,,,,,,,,,,,
"Great prices and selection of tyres, convenient fitting locations",value for money positive,location positive,,,,,,,,,,,,
Used them before and was happy with the quick service and price for full fitting,value for money positive,,,,,,,,,,,,,
Not a 10 as I found the garage a bit difficult to find,location negative,,,,,,,,,,,,,
"good price, good service",value for money positive,,,,,,,,,,,,,
"Always good online price and very convenient - and excellent - fitting service at SBServices, Strathaven",location positive,value for money positive,garage service positive,,,,,,,,,,,
Good prices. easy to arrange local fitting,location positive,ease of booking positive,value for money positive,,,,,,,,,,,
"Miles better price than anywhere else, selection of fitting centres and methods very versatile",value for money positive,,,,,,,,,,,,,
more expensive,value for money positive,value for money negative,,,,,,,,,,,,
Good price. Local fitters.,value for money positive,location positive,,,,,,,,,,,,
Because the company fitting the tyres took a very long time to do the job.Almost as though they didnt like the fact the tyres had been booked through [REDACTED],length of fitting positive,garage service negative,length of fitting negative,,,,,,,,,,,
Contacted to change date as original date was changed by [REDACTED],ease of booking negative,change of date negative,,,,,,,,,,,,
Dropped the car off at the time stated on the order and 30 mins later ready to drive away simple great job.,length of fitting positive,wait time positive,,,,,,,,,,,,
I knew about the superb service because I have bought tyres before from [REDACTED].,garage service positive,,,,,,,,,,,,,
Efficient and good value,value for money positive,,,,,,,,,,,,,
"Good choice, easy to use, great pricing",value for money positive,,,,,,,,,,,,,
This is the best price and range of tyres I could find also local garages and good times,location positive,ease of booking positive,value for money positive,,,,,,,,,,,
because it was hassle free. booked it online. took it to the garage on a Saturday and collected after. it was cheaper than the garage I took the car to.,value for money positive,,,,,,,,,,,,,
I have used [REDACTED] on a number of occasions and have always received great service and a really good quality product. The number and locations of the approved fitting centres makes it easy to fit in with work.,location positive,tyre quality positive,ease of booking positive,,,,,,,,,,,
"The process was simple and the tyre I bought was a good price. The only issue was that fitting it took 35 minutes from arriving at depot to leaving, which I felt was too long for a pre-arranged appointment.",value for money positive,length of fitting positive,garage service positive,length of fitting negative,,,,,,,,,,
"Excellent service, good prices and lots choices.",value for money positive,,,,,,,,,,,,,
Easy to order and choose your own tyre fitter,ease of booking positive,,,,,,,,,,,,,
"Great price, great customer experience at the garage I chose. Couldn’t fault the whole thing",garage service positive,value for money positive,,,,,,,,,,,,
"Excellent service, tyres delivered to the fitter arranged.both tyres were fitted to my car in about thirty minutes. Very good service.",delivery punctuality positive,garage service positive,length of fitting positive,,,,,,,,,,,
Good price and fitting was easy to arrange,value for money positive,ease of booking positive,,,,,,,,,,,,
Good service and price. ‘Faceless’ company,value for money positive,,,,,,,,,,,,,
The website is easy to use and you can choose the garage you want to complete the work,garage service positive,ease of booking positive,,,,,,,,,,,,
"Excellent service! Simple website ordering system, tyres delivered to my local garage and fitted in a timely manner.",ease of booking positive,length of fitting positive,location positive,,,,,,,,,,,
Great service and competitive price,value for money positive,,,,,,,,,,,,,
Item went missing from my vehicle during the time it was with the Company that fitted my tyres,garage service negative,,,,,,,,,,,,,
You missed the appointment time and told me the night before,ease of booking negative,,,,,,,,,,,,,
"Excellent all round, very competitive prices and the team were hugely helpful",value for money positive,,,,,,,,,,,,,
Unbeatable Prices. Brilliant way to purchase tyres and plenty of local garages to fit them.I was unable to find a better deal elsewhere.,location positive,ease of booking positive,value for money positive,,,,,,,,,,,
"Excellent service, very quick & efficient at a very good price",value for money positive,,,,,,,,,,,,,
Got the tyres I wanted with no hassle and at the best price.,value for money positive,,,,,,,,,,,,,
Easy to use web site. User friendly appointment fitting and importantly great prices and great range of tyres,value for money positive,ease of booking positive,,,,,,,,,,,,
"Exactly what I wanted. As always, great prices and simple ordering, backed up by an excellent fitter. Exactly what I want.",garage service positive,value for money positive,,,,,,,,,,,,
